# timestamp tx ty tz qx qy qz qw
1783055820.700384 33.370850 13.418085 0.406048 -0.058327 0.161530 0.525161 0.833494
1783055820.800224 33.372051 13.413058 0.404056 -0.057014 0.161565 0.529338 0.830932
1783055820.900064 33.373199 13.409152 0.403040 -0.056134 0.159310 0.533896 0.828507
1783055821.000384 33.374210 13.406332 0.402313 -0.055770 0.159078 0.538766 0.825418
1783055821.100237 33.373276 13.403143 0.402349 -0.056105 0.157306 0.543167 0.822847
1783055821.200077 33.372379 13.401971 0.402341 -0.056826 0.155754 0.547192 0.820422
1783055821.300397 33.370361 13.399624 0.403718 -0.057929 0.153687 0.551303 0.817979
1783055821.400237 33.368641 13.398310 0.402554 -0.059125 0.154189 0.554591 0.815573
1783055821.500077 33.366276 13.397722 0.401343 -0.059408 0.155372 0.557373 0.813428
1783055821.600397 33.364178 13.397800 0.400858 -0.059604 0.154727 0.559461 0.812102
1783055821.700237 33.361549 13.397164 0.403076 -0.060012 0.153189 0.560386 0.811726
1783055821.800077 33.360703 13.396419 0.404948 -0.058524 0.151776 0.562090 0.810921
1783055821.900397 33.360073 13.395732 0.405271 -0.057592 0.151110 0.561884 0.811256
1783055822.000237 33.358318 13.396505 0.405730 -0.059030 0.151861 0.560860 0.811720
1783055822.100091 33.357151 13.397262 0.405538 -0.059182 0.153325 0.561007 0.811332
1783055822.200411 33.357716 13.397871 0.406439 -0.058871 0.154767 0.561616 0.810660
1783055822.300251 33.357449 13.398089 0.407207 -0.060269 0.155270 0.562731 0.809687
1783055822.400091 33.359512 13.397890 0.408133 -0.061322 0.154370 0.564122 0.808811
1783055822.500411 33.361004 13.398437 0.410741 -0.060697 0.153634 0.565883 0.807768
1783055822.600251 33.361889 13.399226 0.412642 -0.060954 0.152456 0.566887 0.807267
1783055822.700091 33.362698 13.399514 0.415297 -0.060803 0.151287 0.568360 0.806463
1783055822.800411 33.364426 13.400434 0.416780 -0.060828 0.150242 0.570291 0.805292
1783055822.900251 33.365227 13.401942 0.416509 -0.059688 0.150516 0.571270 0.804632
1783055823.000091 33.366646 13.403182 0.415901 -0.060312 0.152229 0.571808 0.803880
1783055823.100424 33.367691 13.405823 0.415599 -0.061249 0.152291 0.571982 0.803675
1783055823.200264 33.367920 13.407533 0.416424 -0.060888 0.151466 0.572317 0.803619
1783055823.300104 33.368324 13.409700 0.414935 -0.060439 0.151329 0.572551 0.803512
